CustomerID,Value_segment
14646,Top 1%
18102,Top 1%
17450,Top 1%
14911,Top 1%
12415,Top 1%
14156,Top 1%
17511,Top 1%
16684,Top 1%
13694,Top 1%
15311,Top 1%
16029,Top 1%
13089,Top 1%
15061,Top 1%
14096,Top 1%
17949,Top 1%
15769,Top 1%
14298,Top 1%
14088,Top 1%
17841,Top 1%
15098,Top 1%
13798,Top 1%
16422,Top 1%
12931,Top 1%
16013,Top 1%
15838,Top 1%
17389,Top 1%
12748,Top 1%
17404,Top 1%
13098,Top 1%
13081,Top 1%
13408,Top 1%
14680,Top 1%
16333,Top 1%
13777,Top 1%
17857,Top 1%
15749,Top 1%
16210,Top 1%
12753,Top 1%
17381,Top 1%
17675,Top 1%
15039,Top 1%
12731,Top 1%
15159,Top 1%
17428,Top 1%
13881,95–99%
13767,95–99%
12921,95–99%
12471,95–99%
12901,95–99%
12678,95–99%
17677,95–99%
15856,95–99%
15189,95–99%
14051,95–99%
16839,95–99%
14031,95–99%
15513,95–99%
16133,95–99%
14866,95–99%
16705,95–99%
12433,95–99%
15498,95–99%
12477,95–99%
17735,95–99%
14258,95–99%
15640,95–99%
13078,95–99%
16000,95–99%
12621,95–99%
12681,95–99%
17340,95–99%
12557,95–99%
16525,95–99%
12939,95–99%
14606,95–99%
12540,95–99%
14194,95–99%
15125,95–99%
12409,95–99%
12682,95–99%
14895,95–99%
12971,95–99%
13340,95–99%
17581,95–99%
13319,95–99%
14769,95–99%
17139,95–99%
13113,95–99%
14062,95–99%
16779,95–99%
17107,95–99%
15615,95–99%
15251,95–99%
16180,95–99%
16843,95–99%
17865,95–99%
17706,95–99%
13001,95–99%
14607,95–99%
13199,95–99%
15078,95–99%
13458,95–99%
14733,95–99%
12590,95–99%
16523,95–99%
14667,95–99%
14367,95–99%
12744,95–99%
18092,95–99%
12709,95–99%
13969,95–99%
13488,95–99%
12451,95–99%
16033,95–99%
13090,95–99%
17243,95–99%
17306,95–99%
17017,95–99%
16656,95–99%
14527,95–99%
18139,95–99%
12567,95–99%
16558,95–99%
15358,95–99%
14056,95–99%
16672,95–99%
14936,95–99%
13854,95–99%
18109,95–99%
14952,95–99%
14849,95–99%
14796,95–99%
12435,95–99%
15290,95–99%
13629,95–99%
13093,95–99%
17811,95–99%
15044,95–99%
15194,95–99%
18172,95–99%
13263,95–99%
12683,95–99%
17396,95–99%
18229,95–99%
13018,95–99%
16745,95–99%
12980,95–99%
16729,95–99%
13324,95–99%
16873,95–99%
13985,95–99%
14961,95–99%
12798,95–99%
15465,95–99%
13027,95–99%
12989,95–99%
16187,95–99%
16713,95–99%
17416,95–99%
12830,95–99%
18055,95–99%
16532,95–99%
15601,95–99%
15023,95–99%
13576,95–99%
16746,95–99%
16353,95–99%
16923,95–99%
15249,95–99%
16652,95–99%
12583,95–99%
16182,95–99%
17338,95–99%
15144,95–99%
15482,95–99%
16814,95–99%
12474,95–99%
12766,95–99%
15694,95–99%
13871,95–99%
12428,95–99%
13102,95–99%
12705,95–99%
18223,95–99%
12431,95–99%
16126,95–99%
13709,95–99%
12359,95–99%
13668,95–99%
12357,95–99%
15005,95–99%
17315,95–99%
14057,95–99%
14060,95–99%
17509,95–99%
15939,95–99%
13225,95–99%
13316,95–99%
14101,95–99%
15382,95–99%
13097,95–99%
13418,95–99%
14944,95–99%
13209,95–99%
14505,95–99%
14415,95–99%
12637,95–99%
14735,95–99%
15218,95–99%
17686,95–99%
12472,95–99%
13178,95–99%
12626,95–99%
13050,95–99%
14110,95–99%
16553,95–99%
13468,95–99%
14049,95–99%
12476,95–99%
13004,80–95%
13534,80–95%
17049,80–95%
18118,80–95%
12839,80–95%
17757,80–95%
16767,80–95%
12539,80–95%
15502,80–95%
17716,80–95%
16985,80–95%
15805,80–95%
16609,80–95%
16161,80–95%
17719,80–95%
18225,80–95%
17809,80–95%
16265,80–95%
13269,80–95%
16303,80–95%
15150,80–95%
17730,80–95%
17850,80–95%
16258,80–95%
18226,80–95%
15727,80–95%
17858,80–95%
16701,80–95%
13756,80–95%
15903,80–95%
17061,80–95%
14688,80–95%
18198,80–95%
12720,80–95%
13139,80–95%
17602,80–95%
15046,80–95%
15719,80–95%
16700,80–95%
13599,80–95%
15301,80–95%
17426,80–95%
12481,80–95%
14755,80–95%
15547,80–95%
14329,80–95%
16191,80–95%
13941,80–95%
14709,80–95%
17133,80–95%
12688,80–95%
12490,80–95%
15786,80–95%
14292,80–95%
17365,80–95%
15738,80–95%
13013,80–95%
15555,80–95%
17690,80–95%
17652,80–95%
12955,80–95%
14562,80–95%
16722,80–95%
14135,80–95%
15152,80–95%
14159,80–95%
12362,80–95%
14191,80–95%
15187,80–95%
14180,80–95%
14189,80–95%
16931,80–95%
14286,80–95%
14390,80–95%
14004,80–95%
15291,80–95%
12700,80–95%
17068,80–95%
17613,80–95%
15032,80–95%
17364,80–95%
14085,80–95%
15093,80–95%
13267,80–95%
12437,80–95%
16984,80–95%
12664,80–95%
17975,80–95%
15955,80–95%
16626,80–95%
12752,80–95%
12432,80–95%
16945,80–95%
15874,80–95%
18251,80–95%
12347,80–95%
17937,80–95%
12714,80–95%
14016,80–95%
15034,80–95%
14525,80–95%
14422,80–95%
14800,80–95%
17419,80–95%
12747,80–95%
15971,80–95%
17920,80–95%
12757,80–95%
18041,80–95%
16549,80–95%
12536,80–95%
13555,80–95%
12949,80–95%
13384,80–95%
15570,80–95%
13988,80–95%
12444,80–95%
12627,80–95%
14534,80–95%
16592,80–95%
16401,80–95%
14092,80–95%
14401,80–95%
12500,80–95%
16670,80–95%
17567,80–95%
12378,80–95%
16186,80–95%
12867,80–95%
17001,80–95%
14547,80–95%
12957,80–95%
15416,80–95%
15529,80–95%
17769,80–95%
13183,80–95%
17611,80–95%
12524,80–95%
17377,80–95%
14277,80–95%
14426,80–95%
17593,80–95%
12484,80–95%
13802,80–95%
15299,80–95%
14739,80–95%
17651,80–95%
12841,80–95%
14291,80–95%
12779,80–95%
13124,80–95%
13999,80–95%
18073,80–95%
15195,80–95%
15804,80–95%
12749,80–95%
16327,80–95%
17091,80–95%
16655,80–95%
13435,80–95%
12712,80–95%
15867,80–95%
15298,80–95%
16168,80–95%
17173,80–95%
13523,80–95%
17238,80–95%
16145,80–95%
16904,80–95%
14282,80–95%
15808,80–95%
13069,80–95%
13266,80–95%
14364,80–95%
16240,80–95%
16253,80–95%
17819,80–95%
13815,80–95%
18079,80–95%
15845,80–95%
13137,80–95%
16440,80–95%
16712,80–95%
15379,80–95%
13381,80–95%
16570,80–95%
13327,80–95%
15296,80–95%
16242,80–95%
12449,80–95%
13082,80–95%
14132,80–95%
17203,80–95%
15484,80–95%
13426,80–95%
12656,80–95%
14040,80–95%
14503,80–95%
15544,80–95%
17491,80–95%
17528,80–95%
13552,80–95%
13334,80–95%
13505,80–95%
17160,80–95%
13953,80–95%
12662,80–95%
16131,80–95%
15505,80–95%
16458,80–95%
14907,80–95%
14395,80–95%
17230,80–95%
13448,80–95%
17576,80–95%
17758,80–95%
15410,80–95%
16019,80–95%
13536,80–95%
15129,80–95%
15113,80–95%
15974,80–95%
14221,80–95%
12727,80–95%
12370,80–95%
16360,80–95%
13993,80–95%
15981,80–95%
13437,80–95%
17669,80–95%
12429,80–95%
12562,80–95%
13842,80–95%
13198,80–95%
15228,80–95%
17725,80–95%
13014,80–95%
16011,80–95%
13148,80–95%
13015,80–95%
15708,80–95%
15676,80–95%
16818,80–95%
14227,80–95%
16556,80–95%
13373,80–95%
14841,80–95%
17183,80–95%
12406,80–95%
16717,80–95%
17723,80–95%
14702,80–95%
13952,80–95%
15764,80–95%
12553,80–95%
17050,80–95%
15622,80–95%
13880,80–95%
15443,80–95%
12594,80–95%
16107,80–95%
17220,80–95%
13868,80–95%
17685,80–95%
13758,80–95%
14844,80–95%
14388,80–95%
16837,80–95%
16041,80–95%
17863,80–95%
12417,80–95%
14145,80–95%
15632,80–95%
13268,80–95%
15065,80–95%
12569,80–95%
17231,80–95%
13685,80–95%
12668,80–95%
14175,80–95%
17672,80–95%
13869,80–95%
13742,80–95%
13135,80–95%
17059,80–95%
12647,80–95%
14235,80–95%
14099,80–95%
15491,80–95%
13047,80–95%
14257,80–95%
16326,80–95%
13362,80–95%
16905,80–95%
15998,80–95%
12910,80–95%
12597,80–95%
18272,80–95%
16218,80–95%
16940,80–95%
14456,80–95%
16686,80–95%
12643,80–95%
16607,80–95%
16156,80–95%
16709,80–95%
17799,80–95%
16678,80–95%
13631,80–95%
18094,80–95%
12754,80–95%
15861,80–95%
12502,80–95%
14307,80–95%
12916,80–95%
15687,80–95%
15854,80–95%
13520,80–95%
12613,80–95%
16497,80–95%
15514,80–95%
17659,80–95%
14639,80–95%
17084,80–95%
14146,80–95%
14543,80–95%
16393,80–95%
14868,80–95%
14032,80–95%
14530,80–95%
14565,80–95%
17512,80–95%
12906,80–95%
18087,80–95%
13451,80–95%
12619,80–95%
17924,80–95%
18144,80–95%
12480,80–95%
15673,80–95%
14251,80–95%
16633,80–95%
14005,80–95%
13901,80–95%
15628,80–95%
18145,80–95%
17728,80–95%
14299,80–95%
14535,80–95%
14711,80–95%
14852,80–95%
17596,80–95%
15984,80–95%
13174,80–95%
16081,80–95%
14572,80–95%
12758,80–95%
12598,80–95%
17739,80–95%
12388,80–95%
14112,80–95%
16928,80–95%
13769,80–95%
17644,80–95%
15356,80–95%
13735,80–95%
13230,80–95%
16871,80–95%
15114,80–95%
16764,80–95%
14626,80–95%
16316,80–95%
13870,80–95%
14854,80–95%
15993,80–95%
17504,80–95%
14903,80–95%
17213,80–95%
14125,80–95%
14121,80–95%
16003,80–95%
12670,80–95%
18230,80–95%
12840,80–95%
13285,80–95%
15796,80–95%
13654,80–95%
13971,80–95%
15521,80–95%
18097,80–95%
14107,80–95%
17386,80–95%
14732,80–95%
14713,80–95%
12395,80–95%
14439,80–95%
17069,80–95%
13851,80–95%
15321,80–95%
15696,80–95%
13804,80–95%
15671,80–95%
18077,80–95%
13771,80–95%
16618,80–95%
15752,80–95%
17965,80–95%
18210,80–95%
14262,80–95%
12836,80–95%
17346,80–95%
16255,80–95%
16241,80–95%
14408,80–95%
13422,80–95%
17402,80–95%
13644,80–95%
16919,80–95%
18260,80–95%
15782,80–95%
13983,80–95%
13895,80–95%
12408,80–95%
13021,80–95%
13911,80–95%
12685,80–95%
15485,80–95%
17655,80–95%
15033,80–95%
16308,80–95%
14397,80–95%
12473,80–95%
12456,80–95%
15572,80–95%
13136,80–95%
13344,80–95%
14676,80–95%
13883,80–95%
14334,80–95%
18075,80–95%
14243,80–95%
16912,80–95%
13471,80–95%
17317,80–95%
15245,80–95%
17314,80–95%
17700,80–95%
18245,80–95%
13695,80–95%
13975,80–95%
17449,80–95%
16477,80–95%
12356,80–95%
14546,80–95%
14701,80–95%
15271,80–95%
12913,80–95%
16710,80–95%
13507,80–95%
12438,80–95%
17164,80–95%
17131,80–95%
13784,80–95%
15932,80–95%
17682,80–95%
14315,80–95%
14842,80–95%
14659,80–95%
15750,80–95%
13588,80–95%
14163,80–95%
13949,80–95%
12380,80–95%
14766,80–95%
15606,80–95%
13658,80–95%
15089,80–95%
16143,80–95%
15527,80–95%
12726,80–95%
17589,80–95%
15980,80–95%
17444,80–95%
13141,80–95%
17071,80–95%
14554,80–95%
17722,80–95%
17530,80–95%
18065,80–95%
14930,80–95%
13722,80–95%
14493,80–95%
12625,80–95%
17634,80–95%
12578,80–95%
15370,80–95%
14030,80–95%
12721,80–95%
14440,80–95%
15140,80–95%
14502,80–95%
12708,80–95%
12455,80–95%
18259,80–95%
17434,80–95%
14239,80–95%
17744,80–95%
14309,80–95%
15755,80–95%
13394,80–95%
13994,80–95%
17838,80–95%
12600,80–95%
14290,80–95%
15288,80–95%
15785,80–95%
12360,80–95%
14808,80–95%
17211,80–95%
15105,80–95%
15270,80–95%
13908,80–95%
17954,80–95%
13704,80–95%
12520,80–95%
15704,80–95%
17313,80–95%
12517,80–95%
17188,80–95%
18257,80–95%
17768,80–95%
14466,80–95%
16735,80–95%
16550,80–95%
13700,80–95%
13527,80–95%
16209,80–95%
14432,80–95%
15235,80–95%
16782,80–95%
15665,80–95%
15281,80–95%
17940,80–95%
16293,80–95%
14700,80–95%
16771,80–95%
18242,80–95%
14825,80–95%
12755,80–95%
17591,80–95%
12397,80–95%
15373,80–95%
17442,80–95%
12653,80–95%
14211,80–95%
13115,80–95%
13831,80–95%
13680,80–95%
14226,80–95%
17696,80–95%
15123,80–95%
14776,80–95%
15797,80–95%
16743,80–95%
13365,80–95%
13862,80–95%
15179,80–95%
15394,80–95%
16628,80–95%
15722,80–95%
14560,80–95%
16076,80–95%
15811,80–95%
14341,80–95%
12856,80–95%
16456,80–95%
12935,80–95%
13755,80–95%
16966,80–95%
13224,80–95%
17272,80–95%
16057,80–95%
13317,80–95%
14828,80–95%
16379,80–95%
17400,80–95%
12909,80–95%
14360,80–95%
16407,80–95%
15058,80–95%
18061,80–95%
13632,80–95%
18008,80–95%
14691,80–95%
13517,80–95%
13265,80–95%
18173,80–95%
14461,80–95%
14515,80–95%
15815,80–95%
14407,80–95%
17191,80–95%
12615,80–95%
13571,80–95%
13297,80–95%
18283,80–95%
14810,80–95%
18044,80–95%
16954,80–95%
14306,80–95%
18093,80–95%
15834,80–95%
12684,80–95%
14696,80–95%
14482,80–95%
14209,80–95%
18231,80–95%
12928,80–95%
16281,80–95%
17861,80–95%
18241,80–95%
13126,80–95%
17667,80–95%
12948,80–95%
12876,80–95%
17086,80–95%
17625,80–95%
17597,80–95%
14232,80–95%
13450,80–95%
14001,80–95%
14640,80–95%
17090,80–95%
16409,80–95%
16358,80–95%
14544,80–95%
16875,80–95%
18069,80–95%
15341,80–95%
18219,80–95%
