StockCode,Value_segment
10002,Bottom 80%
10080,Bottom 80%
10120,Bottom 80%
10123C,Bottom 80%
10124A,Bottom 80%
10124G,Bottom 80%
10125,Bottom 80%
10133,Bottom 80%
10135,Bottom 80%
11001,Bottom 80%
15030,Bottom 80%
15034,Bottom 80%
15036,95–99%
15039,Bottom 80%
15044A,Bottom 80%
15044B,Bottom 80%
15044C,Bottom 80%
15044D,Bottom 80%
15056BL,95–99%
15056N,95–99%
15056P,80–95%
15058A,Bottom 80%
15058B,Bottom 80%
15058C,Bottom 80%
15060B,Bottom 80%
16008,Bottom 80%
16010,Bottom 80%
16011,Bottom 80%
16012,Bottom 80%
16014,80–95%
16015,Bottom 80%
16016,Bottom 80%
16020C,Bottom 80%
16033,Bottom 80%
16043,Bottom 80%
16045,Bottom 80%
16046,Bottom 80%
16048,Bottom 80%
16049,Bottom 80%
16052,Bottom 80%
16054,Bottom 80%
16151A,Bottom 80%
16156L,Bottom 80%
16156S,Bottom 80%
16161G,Bottom 80%
16161M,Bottom 80%
16161P,Bottom 80%
16161U,Bottom 80%
16162L,Bottom 80%
16162M,Bottom 80%
16168M,Bottom 80%
16169E,Bottom 80%
16169K,Bottom 80%
16169M,Bottom 80%
16169N,Bottom 80%
16169P,Bottom 80%
16202A,Bottom 80%
16202B,Bottom 80%
16202E,Bottom 80%
16206B,Bottom 80%
16207A,Bottom 80%
16207B,Bottom 80%
16216,Bottom 80%
16218,Bottom 80%
16219,Bottom 80%
16225,Bottom 80%
16235,Bottom 80%
16236,Bottom 80%
16237,Bottom 80%
16238,Bottom 80%
16244B,Bottom 80%
16248B,Bottom 80%
16254,Bottom 80%
16258A,Bottom 80%
16259,Bottom 80%
17001,Bottom 80%
17003,80–95%
17007B,Bottom 80%
17011F,Bottom 80%
17012A,Bottom 80%
17012B,Bottom 80%
17012C,Bottom 80%
17012D,Bottom 80%
17012E,Bottom 80%
17012F,Bottom 80%
17013D,Bottom 80%
17014A,Bottom 80%
17021,Bottom 80%
17028J,Bottom 80%
17038,Bottom 80%
17084A,Bottom 80%
17084J,Bottom 80%
17084N,Bottom 80%
17084P,Bottom 80%
17084R,Bottom 80%
17090A,Bottom 80%
17090D,Bottom 80%
17091A,Bottom 80%
17091J,Bottom 80%
17096,Bottom 80%
17107D,Bottom 80%
17109D,Bottom 80%
17129F,Bottom 80%
17136A,Bottom 80%
17164B,Bottom 80%
17165D,Bottom 80%
17174,Bottom 80%
17191A,Bottom 80%
18007,Bottom 80%
18094C,Bottom 80%
18097A,Bottom 80%
18097C,Bottom 80%
18098C,Bottom 80%
20615,Bottom 80%
20616,Bottom 80%
20617,Bottom 80%
20618,Bottom 80%
20619,Bottom 80%
20622,Bottom 80%
20652,Bottom 80%
20653,Bottom 80%
20654,Bottom 80%
20655,Bottom 80%
20657,Bottom 80%
20658,Bottom 80%
20659,Bottom 80%
20661,Bottom 80%
20662,Bottom 80%
20663,Bottom 80%
20664,Bottom 80%
20665,Bottom 80%
20666,Bottom 80%
20667,Bottom 80%
20668,Bottom 80%
20669,Bottom 80%
20670,Bottom 80%
20671,Bottom 80%
20674,Bottom 80%
20675,80–95%
20676,80–95%
20677,80–95%
20678,Bottom 80%
20679,80–95%
20681,Bottom 80%
20682,80–95%
20684,Bottom 80%
20685,Top 1%
20686,Bottom 80%
20694,Bottom 80%
20695,Bottom 80%
20696,Bottom 80%
20697,Bottom 80%
20698,Bottom 80%
20699,Bottom 80%
20700,Bottom 80%
20701,Bottom 80%
20702,Bottom 80%
20703,Bottom 80%
20704,Bottom 80%
20705,Bottom 80%
20707,Bottom 80%
20711,80–95%
20712,95–99%
20713,95–99%
20716,Bottom 80%
20717,80–95%
20718,80–95%
20719,95–99%
20723,95–99%
20724,95–99%
20725,Top 1%
20726,95–99%
20727,95–99%
20728,95–99%
20731,Bottom 80%
20733,Bottom 80%
20734,Bottom 80%
20735,Bottom 80%
20748,Bottom 80%
20749,95–99%
20750,95–99%
20751,Bottom 80%
20752,Bottom 80%
20754,80–95%
20755,Bottom 80%
20756,Bottom 80%
20757,Bottom 80%
20758,Bottom 80%
20759,Bottom 80%
20760,Bottom 80%
20761,Bottom 80%
20762,Bottom 80%
20763,Bottom 80%
20764,Bottom 80%
20765,Bottom 80%
20766,Bottom 80%
20767,Bottom 80%
20768,Bottom 80%
20769,Bottom 80%
20770,Bottom 80%
20771,Bottom 80%
20772,Bottom 80%
20773,Bottom 80%
20774,Bottom 80%
20775,Bottom 80%
20777,Bottom 80%
20778,Bottom 80%
20780,Bottom 80%
20781,Bottom 80%
20782,Bottom 80%
20785,Bottom 80%
20793,Bottom 80%
20794,Bottom 80%
20795,Bottom 80%
20796,Bottom 80%
20798,Bottom 80%
20801,Bottom 80%
20802,Bottom 80%
20803,Bottom 80%
20816,Bottom 80%
20818,Bottom 80%
20819,Bottom 80%
20820,Bottom 80%
20821,Bottom 80%
20823,Bottom 80%
20826,Bottom 80%
20827,Bottom 80%
20828,Bottom 80%
20829,Bottom 80%
20830,Bottom 80%
20831,Bottom 80%
20832,Bottom 80%
20835,Bottom 80%
20836,Bottom 80%
20837,Bottom 80%
20838,Bottom 80%
20839,Bottom 80%
20840,Bottom 80%
20845,Bottom 80%
20846,Bottom 80%
20847,Bottom 80%
20848,Bottom 80%
20851,Bottom 80%
20854,Bottom 80%
20856,Bottom 80%
20857,Bottom 80%
20860,Bottom 80%
20861,Bottom 80%
20866,Bottom 80%
20867,Bottom 80%
20868,Bottom 80%
20869,Bottom 80%
20871,Bottom 80%
20878,Bottom 80%
20886,Bottom 80%
20892,Bottom 80%
20893,Bottom 80%
20894,Bottom 80%
20897,Bottom 80%
20898,Bottom 80%
20901,Bottom 80%
20902,Bottom 80%
20903,Bottom 80%
20906,Bottom 80%
20910,Bottom 80%
20914,95–99%
20931,Bottom 80%
20932,Bottom 80%
20933,Bottom 80%
20934,Bottom 80%
